date,citizenship,encounter_count,country_of_entry
2020-03-01,AFGHANISTAN,0,PANAMA
2020-03-01,AFRICA,0,PANAMA
2020-03-01,ANGOLA,5,PANAMA
2020-03-01,ARGENTINA,0,PANAMA
2020-03-01,BANGLADESH,10,PANAMA
2020-03-01,BENIN,0,PANAMA
2020-03-01,BOLIVIA,0,PANAMA
2020-03-01,BRAZIL,44,PANAMA
2020-03-01,BURKINA FASO,2,PANAMA
2020-03-01,BURUNDI,0,PANAMA
2020-03-01,CAMEROON,2,PANAMA
2020-03-01,CHAD,0,PANAMA
2020-03-01,CHILE,151,PANAMA
2020-03-01,CHINA,0,PANAMA
2020-03-01,COLOMBIA,2,PANAMA
2020-03-01,CONGO - BRAZZAVILLE,12,PANAMA
2020-03-01,CÔTE D’IVOIRE,6,PANAMA
2020-03-01,CUBA,16,PANAMA
2020-03-01,DOMINICAN REPUBLIC,0,PANAMA
2020-03-01,ECUADOR,6,PANAMA
2020-03-01,EGYPT,0,PANAMA
2020-03-01,EL SALVADOR,0,PANAMA
2020-03-01,ERITREA,9,PANAMA
2020-03-01,ETHIOPIA,0,PANAMA
2020-03-01,FRENCH GUIANA,0,PANAMA
2020-03-01,GAMBIA,0,PANAMA
2020-03-01,GHANA,3,PANAMA
2020-03-01,GUATEMALA,0,PANAMA
2020-03-01,GUINEA,8,PANAMA
2020-03-01,GUYANA,0,PANAMA
2020-03-01,HAITI,777,PANAMA
2020-03-01,HONDURAS,0,PANAMA
2020-03-01,INDIA,7,PANAMA
2020-03-01,IRAN,0,PANAMA
2020-03-01,KYRGYZSTAN,0,PANAMA
2020-03-01,LEBANON,0,PANAMA
2020-03-01,LIBERIA,1,PANAMA
2020-03-01,MALI,3,PANAMA
2020-03-01,MAURITANIA,4,PANAMA
2020-03-01,MEXICO,0,PANAMA
2020-03-01,NEPAL,4,PANAMA
2020-03-01,NICARAGUA,0,PANAMA
2020-03-01,NIGERIA,0,PANAMA
2020-03-01,OTHER,0,PANAMA
2020-03-01,PAKISTAN,4,PANAMA
2020-03-01,PALESTINE,0,PANAMA
2020-03-01,PANAMA,2,PANAMA
2020-03-01,PARAGUAY,0,PANAMA
2020-03-01,PERU,0,PANAMA
2020-03-01,SENEGAL,3,PANAMA
2020-03-01,SIERRA LEONE,5,PANAMA
2020-03-01,SOMALIA,0,PANAMA
2020-03-01,SRI LANKA,7,PANAMA
2020-03-01,SUDAN,2,PANAMA
2020-03-01,SYRIA,0,PANAMA
2020-03-01,TAJIKISTAN,0,PANAMA
2020-03-01,TOGO,0,PANAMA
2020-03-01,URUGUAY,0,PANAMA
2020-03-01,UZBEKISTAN,0,PANAMA
2020-03-01,VENEZUELA,3,PANAMA
2020-03-01,VIETNAM,1,PANAMA
2020-03-01,YEMEN,0,PANAMA
2020-04-01,AFGHANISTAN,0,PANAMA
2020-04-01,AFRICA,0,PANAMA
2020-04-01,ANGOLA,0,PANAMA
2020-04-01,ARGENTINA,0,PANAMA
2020-04-01,BANGLADESH,0,PANAMA
2020-04-01,BENIN,0,PANAMA
2020-04-01,BOLIVIA,0,PANAMA
2020-04-01,BRAZIL,0,PANAMA
2020-04-01,BURKINA FASO,0,PANAMA
2020-04-01,BURUNDI,0,PANAMA
2020-04-01,CAMEROON,0,PANAMA
2020-04-01,CHAD,0,PANAMA
2020-04-01,CHILE,0,PANAMA
2020-04-01,CHINA,0,PANAMA
2020-04-01,COLOMBIA,0,PANAMA
2020-04-01,CONGO - BRAZZAVILLE,0,PANAMA
2020-04-01,CÔTE D’IVOIRE,0,PANAMA
2020-04-01,CUBA,0,PANAMA
2020-04-01,DOMINICAN REPUBLIC,0,PANAMA
2020-04-01,ECUADOR,0,PANAMA
2020-04-01,EGYPT,0,PANAMA
2020-04-01,EL SALVADOR,0,PANAMA
2020-04-01,ERITREA,0,PANAMA
2020-04-01,ETHIOPIA,0,PANAMA
2020-04-01,FRENCH GUIANA,0,PANAMA
2020-04-01,GAMBIA,0,PANAMA
2020-04-01,GHANA,0,PANAMA
2020-04-01,GUATEMALA,0,PANAMA
2020-04-01,GUINEA,0,PANAMA
2020-04-01,GUYANA,0,PANAMA
2020-04-01,HAITI,0,PANAMA
2020-04-01,HONDURAS,0,PANAMA
2020-04-01,INDIA,0,PANAMA
2020-04-01,IRAN,0,PANAMA
2020-04-01,KYRGYZSTAN,0,PANAMA
2020-04-01,LEBANON,0,PANAMA
2020-04-01,LIBERIA,0,PANAMA
2020-04-01,MALI,0,PANAMA
2020-04-01,MAURITANIA,0,PANAMA
2020-04-01,MEXICO,0,PANAMA
2020-04-01,NEPAL,0,PANAMA
2020-04-01,NICARAGUA,0,PANAMA
2020-04-01,NIGERIA,0,PANAMA
2020-04-01,OTHER,0,PANAMA
2020-04-01,PAKISTAN,0,PANAMA
2020-04-01,PALESTINE,0,PANAMA
2020-04-01,PANAMA,0,PANAMA
2020-04-01,PARAGUAY,0,PANAMA
2020-04-01,PERU,0,PANAMA
2020-04-01,SENEGAL,0,PANAMA
2020-04-01,SIERRA LEONE,0,PANAMA
2020-04-01,SOMALIA,0,PANAMA
2020-04-01,SRI LANKA,0,PANAMA
2020-04-01,SUDAN,0,PANAMA
2020-04-01,SYRIA,0,PANAMA
2020-04-01,TAJIKISTAN,0,PANAMA
2020-04-01,TOGO,0,PANAMA
2020-04-01,URUGUAY,0,PANAMA
2020-04-01,UZBEKISTAN,0,PANAMA
2020-04-01,VENEZUELA,0,PANAMA
2020-04-01,VIETNAM,0,PANAMA
2020-04-01,YEMEN,0,PANAMA
2020-05-01,AFGHANISTAN,0,PANAMA
2020-05-01,AFRICA,0,PANAMA
2020-05-01,ANGOLA,0,PANAMA
2020-05-01,ARGENTINA,0,PANAMA
2020-05-01,BANGLADESH,0,PANAMA
2020-05-01,BENIN,0,PANAMA
2020-05-01,BOLIVIA,0,PANAMA
2020-05-01,BRAZIL,0,PANAMA
2020-05-01,BURKINA FASO,0,PANAMA
2020-05-01,BURUNDI,0,PANAMA
2020-05-01,CAMEROON,0,PANAMA
2020-05-01,CHAD,0,PANAMA
2020-05-01,CHILE,0,PANAMA
2020-05-01,CHINA,0,PANAMA
2020-05-01,COLOMBIA,0,PANAMA
2020-05-01,CONGO - BRAZZAVILLE,0,PANAMA
2020-05-01,CÔTE D’IVOIRE,0,PANAMA
2020-05-01,CUBA,0,PANAMA
2020-05-01,DOMINICAN REPUBLIC,0,PANAMA
2020-05-01,ECUADOR,0,PANAMA
2020-05-01,EGYPT,0,PANAMA
2020-05-01,EL SALVADOR,0,PANAMA
2020-05-01,ERITREA,0,PANAMA
2020-05-01,ETHIOPIA,0,PANAMA
2020-05-01,FRENCH GUIANA,0,PANAMA
2020-05-01,GAMBIA,0,PANAMA
2020-05-01,GHANA,0,PANAMA
2020-05-01,GUATEMALA,0,PANAMA
2020-05-01,GUINEA,0,PANAMA
2020-05-01,GUYANA,0,PANAMA
2020-05-01,HAITI,0,PANAMA
2020-05-01,HONDURAS,0,PANAMA
2020-05-01,INDIA,0,PANAMA
2020-05-01,IRAN,0,PANAMA
2020-05-01,KYRGYZSTAN,0,PANAMA
2020-05-01,LEBANON,0,PANAMA
2020-05-01,LIBERIA,0,PANAMA
2020-05-01,MALI,0,PANAMA
2020-05-01,MAURITANIA,0,PANAMA
2020-05-01,MEXICO,0,PANAMA
2020-05-01,NEPAL,0,PANAMA
2020-05-01,NICARAGUA,0,PANAMA
2020-05-01,NIGERIA,0,PANAMA
2020-05-01,OTHER,0,PANAMA
2020-05-01,PAKISTAN,0,PANAMA
2020-05-01,PALESTINE,0,PANAMA
2020-05-01,PANAMA,0,PANAMA
2020-05-01,PARAGUAY,0,PANAMA
2020-05-01,PERU,0,PANAMA
2020-05-01,SENEGAL,0,PANAMA
2020-05-01,SIERRA LEONE,0,PANAMA
2020-05-01,SOMALIA,0,PANAMA
2020-05-01,SRI LANKA,0,PANAMA
2020-05-01,SUDAN,0,PANAMA
2020-05-01,SYRIA,0,PANAMA
2020-05-01,TAJIKISTAN,0,PANAMA
2020-05-01,TOGO,0,PANAMA
2020-05-01,URUGUAY,0,PANAMA
2020-05-01,UZBEKISTAN,0,PANAMA
2020-05-01,VENEZUELA,0,PANAMA
2020-05-01,VIETNAM,0,PANAMA
2020-05-01,YEMEN,0,PANAMA
2020-06-01,AFGHANISTAN,0,PANAMA
2020-06-01,AFRICA,0,PANAMA
2020-06-01,ANGOLA,5,PANAMA
2020-06-01,ARGENTINA,0,PANAMA
2020-06-01,BANGLADESH,10,PANAMA
2020-06-01,BENIN,0,PANAMA
2020-06-01,BOLIVIA,0,PANAMA
2020-06-01,BRAZIL,11,PANAMA
2020-06-01,BURKINA FASO,0,PANAMA
2020-06-01,BURUNDI,0,PANAMA
2020-06-01,CAMEROON,0,PANAMA
2020-06-01,CHAD,0,PANAMA
2020-06-01,CHILE,13,PANAMA
2020-06-01,CHINA,0,PANAMA
2020-06-01,COLOMBIA,0,PANAMA
2020-06-01,CONGO - BRAZZAVILLE,5,PANAMA
2020-06-01,CÔTE D’IVOIRE,0,PANAMA
2020-06-01,CUBA,12,PANAMA
2020-06-01,DOMINICAN REPUBLIC,0,PANAMA
2020-06-01,ECUADOR,1,PANAMA
2020-06-01,EGYPT,0,PANAMA
2020-06-01,EL SALVADOR,0,PANAMA
2020-06-01,ERITREA,0,PANAMA
2020-06-01,ETHIOPIA,0,PANAMA
2020-06-01,FRENCH GUIANA,0,PANAMA
2020-06-01,GAMBIA,0,PANAMA
2020-06-01,GHANA,0,PANAMA
2020-06-01,GUATEMALA,0,PANAMA
2020-06-01,GUINEA,0,PANAMA
2020-06-01,GUYANA,0,PANAMA
2020-06-01,HAITI,111,PANAMA
2020-06-01,HONDURAS,0,PANAMA
2020-06-01,INDIA,5,PANAMA
2020-06-01,IRAN,0,PANAMA
2020-06-01,KYRGYZSTAN,0,PANAMA
2020-06-01,LEBANON,0,PANAMA
2020-06-01,LIBERIA,0,PANAMA
2020-06-01,MALI,0,PANAMA
2020-06-01,MAURITANIA,0,PANAMA
2020-06-01,MEXICO,0,PANAMA
2020-06-01,NEPAL,4,PANAMA
2020-06-01,NICARAGUA,0,PANAMA
2020-06-01,NIGERIA,0,PANAMA
2020-06-01,OTHER,0,PANAMA
