Country,Ceiling,Year,to the U.S.,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP
LAC,"15,000","2,023","6,312",377,351,214,465,395,493,531,618,372,715,983,798
LAC,"15,000","2,022","2,485",13,124,155,188,217,195,190,214,199,197,293,500
