date,citizenship,encounter_count,country_of_entry
2024-08-01,CAMEROON,210,PANAMA
2024-08-01,ANGOLA,127,PANAMA
2024-08-01,BRAZIL,51,PANAMA
2024-08-01,GHANA,60,PANAMA
2024-08-01,ETHIOPIA,80,PANAMA
2024-08-01,CUBA,50,PANAMA
2024-08-01,TOGO,62,PANAMA
2024-08-01,SOMALIA,48,PANAMA
2024-08-01,PAKISTAN,58,PANAMA
2024-08-01,IRAN,80,PANAMA
2024-08-01,CONGO - BRAZZAVILLE,76,PANAMA
2024-08-01,DOMINICAN REPUBLIC,19,PANAMA
2024-08-01,NIGERIA,21,PANAMA
2024-08-01,ERITREA,34,PANAMA
2024-08-01,SYRIA,18,PANAMA
2024-08-01,BENIN,21,PANAMA
2024-08-01,BURKINA FASO,19,PANAMA
2024-08-01,BOLIVIA,12,PANAMA
2024-08-01,NA,16,PANAMA
2024-08-01,MOROCCO,3,PANAMA
2024-08-01,SUDAN,13,PANAMA
2024-08-01,SRI LANKA,2,PANAMA
2024-08-01,GUINEA,25,PANAMA
2024-08-01,GUYANA,1,PANAMA
2024-08-01,YEMEN,3,PANAMA
2024-08-01,OTHER,71,PANAMA
2024-07-01,VENEZUELA,13545,PANAMA
2024-07-01,COLOMBIA,1125,PANAMA
2024-07-01,ECUADOR,828,PANAMA
2024-07-01,CHINA,772,PANAMA
2024-07-01,HAITI,495,PANAMA
2024-07-01,INDIA,1168,PANAMA
2024-07-01,PERU,217,PANAMA
2024-07-01,VIETNAM,338,PANAMA
2024-07-01,BANGLADESH,195,PANAMA
2024-07-01,NEPAL,292,PANAMA
2024-07-01,CHILE,60,PANAMA
2024-07-01,AFGHANISTAN,187,PANAMA
2024-07-01,CAMEROON,151,PANAMA
2024-07-01,ANGOLA,168,PANAMA
2024-07-01,BRAZIL,58,PANAMA
2024-07-01,GHANA,56,PANAMA
2024-07-01,ETHIOPIA,52,PANAMA
2024-07-01,CUBA,65,PANAMA
2024-07-01,TOGO,55,PANAMA
2024-07-01,SOMALIA,20,PANAMA
2024-07-01,PAKISTAN,121,PANAMA
2024-07-01,IRAN,129,PANAMA
2024-07-01,CONGO - BRAZZAVILLE,65,PANAMA
2024-07-01,DOMINICAN REPUBLIC,23,PANAMA
2024-07-01,NIGERIA,27,PANAMA
2024-07-01,ERITREA,25,PANAMA
2024-07-01,SYRIA,14,PANAMA
2024-07-01,BENIN,23,PANAMA
2024-07-01,BURKINA FASO,17,PANAMA
2024-07-01,BOLIVIA,19,PANAMA
2024-07-01,NA,16,PANAMA
2024-07-01,MOROCCO,7,PANAMA
2024-07-01,SUDAN,11,PANAMA
2024-07-01,SRI LANKA,18,PANAMA
2024-07-01,GUINEA,30,PANAMA
2024-07-01,GUYANA,7,PANAMA
2024-07-01,YEMEN,12,PANAMA
2024-07-01,OTHER,115,PANAMA
2024-06-01,VENEZUELA,23509,PANAMA
2024-06-01,COLOMBIA,1967,PANAMA
2024-06-01,ECUADOR,1277,PANAMA
2024-06-01,CHINA,1074,PANAMA
2024-06-01,HAITI,626,PANAMA
2024-06-01,INDIA,540,PANAMA
2024-06-01,PERU,331,PANAMA
2024-06-01,VIETNAM,132,PANAMA
2024-06-01,BANGLADESH,204,PANAMA
2024-06-01,NEPAL,148,PANAMA
2024-06-01,CHILE,116,PANAMA
2024-06-01,AFGHANISTAN,131,PANAMA
2024-06-01,CAMEROON,121,PANAMA
2024-06-01,ANGOLA,99,PANAMA
2024-06-01,BRAZIL,57,PANAMA
2024-06-01,GHANA,51,PANAMA
2024-06-01,ETHIOPIA,70,PANAMA
2024-06-01,CUBA,63,PANAMA
2024-06-01,TOGO,53,PANAMA
2024-06-01,SOMALIA,33,PANAMA
2024-06-01,PAKISTAN,52,PANAMA
2024-06-01,IRAN,50,PANAMA
2024-06-01,CONGO - BRAZZAVILLE,61,PANAMA
2024-06-01,DOMINICAN REPUBLIC,36,PANAMA
