citizenship,date,encounter_count,country_of_entry
POLAND,2023-04-01,0,MEXICO
PORTUGAL,2023-04-01,3,MEXICO
UNITED KINGDOM,2023-04-01,0,MEXICO
ROMANIA,2023-04-01,38,MEXICO
RUSSIA,2023-04-01,30,MEXICO
SERBIA,2023-04-01,0,MEXICO
SWEDEN,2023-04-01,1,MEXICO
SWITZERLAND,2023-04-01,0,MEXICO
UKRAINE,2023-04-01,2,MEXICO
AFGHANISTAN,2023-04-01,114,MEXICO
SAUDI ARABIA,2023-04-01,0,MEXICO
ARMENIA,2023-04-01,11,MEXICO
AZERBAIJAN,2023-04-01,29,MEXICO
BANGLADESH,2023-04-01,25,MEXICO
BHUTAN,2023-04-01,0,MEXICO
CHINA,2023-04-01,565,MEXICO
CYPRUS,2023-04-01,0,MEXICO
SOUTH KOREA,2023-04-01,0,MEXICO
PHILIPPINES,2023-04-01,3,MEXICO
GEORGIA,2023-04-01,29,MEXICO
HONG KONG SAR CHINA,2023-04-01,0,MEXICO
INDIA,2023-04-01,859,MEXICO
INDONESIA,2023-04-01,1,MEXICO
IRAQ,2023-04-01,0,MEXICO
IRAN,2023-04-01,3,MEXICO
ISRAEL,2023-04-01,0,MEXICO
JAPAN,2023-04-01,1,MEXICO
JORDAN,2023-04-01,4,MEXICO
KAZAKHSTAN,2023-04-01,13,MEXICO
KYRGYZSTAN,2023-04-01,162,MEXICO
KUWAIT,2023-04-01,0,MEXICO
LAOS,2023-04-01,0,MEXICO
LEBANON,2023-04-01,18,MEXICO
MALAYSIA,2023-04-01,0,MEXICO
MYANMAR (BURMA),2023-04-01,0,MEXICO
MONGOLIA,2023-04-01,0,MEXICO
NEPAL,2023-04-01,20,MEXICO
PAKISTAN,2023-04-01,6,MEXICO
PALESTINIAN TERRITORIES,2023-04-01,1,MEXICO
SINGAPORE,2023-04-01,0,MEXICO
SYRIA,2023-04-01,0,MEXICO
SRI LANKA,2023-04-01,2,MEXICO
THAILAND,2023-04-01,0,MEXICO
TAIWAN,2023-04-01,0,MEXICO
TAJIKISTAN,2023-04-01,31,MEXICO
TURKMENISTAN,2023-04-01,0,MEXICO
TURKEY,2023-04-01,52,MEXICO
UZBEKISTAN,2023-04-01,233,MEXICO
VIETNAM,2023-04-01,7,MEXICO
YEMEN,2023-04-01,2,MEXICO
NA,2023-04-01,0,MEXICO
AUSTRALIA,2023-04-01,0,MEXICO
FIJI,2023-04-01,0,MEXICO
NEW ZEALAND,2023-04-01,0,MEXICO
PAPUA NEW GUINEA,2023-04-01,0,MEXICO
TONGA,2023-04-01,0,MEXICO
VANUATU,2023-04-01,0,MEXICO
ANGOLA,2023-04-01,116,MEXICO
ALGERIA,2023-04-01,0,MEXICO
BENIN,2023-04-01,4,MEXICO
BURKINA FASO,2023-04-01,50,MEXICO
BURUNDI,2023-04-01,0,MEXICO
CAPE VERDE,2023-04-01,2,MEXICO
CAMEROON,2023-04-01,59,MEXICO
CENTRAL AFRICAN REPUBLIC,2023-04-01,0,MEXICO
CHAD,2023-04-01,12,MEXICO
CONGO - KINSHASA,2023-04-01,32,MEXICO
CÔTE D’IVOIRE,2023-04-01,7,MEXICO
DJIBOUTI,2023-04-01,2,MEXICO
EGYPT,2023-04-01,12,MEXICO
ERITREA,2023-04-01,48,MEXICO
ETHIOPIA,2023-04-01,120,MEXICO
GABON,2023-04-01,0,MEXICO
GAMBIA,2023-04-01,8,MEXICO
GHANA,2023-04-01,159,MEXICO
GUINEA,2023-04-01,117,MEXICO
GUINEA-BISSAU,2023-04-01,0,MEXICO
EQUATORIAL GUINEA,2023-04-01,2,MEXICO
KENYA,2023-04-01,0,MEXICO
LIBERIA,2023-04-01,0,MEXICO
LIBYA,2023-04-01,0,MEXICO
MALI,2023-04-01,16,MEXICO
MOROCCO,2023-04-01,8,MEXICO
MAURITANIA,2023-04-01,336,MEXICO
MOZAMBIQUE,2023-04-01,2,MEXICO
NAMIBIA,2023-04-01,0,MEXICO
NIGER,2023-04-01,0,MEXICO
NIGERIA,2023-04-01,43,MEXICO
RWANDA,2023-04-01,0,MEXICO
SÃO TOMÉ & PRÍNCIPE,2023-04-01,0,MEXICO
SENEGAL,2023-04-01,253,MEXICO
SIERRA LEONE,2023-04-01,32,MEXICO
SOMALIA,2023-04-01,120,MEXICO
SOUTH AFRICA,2023-04-01,0,MEXICO
SUDAN,2023-04-01,5,MEXICO
TANZANIA,2023-04-01,0,MEXICO
TOGO,2023-04-01,8,MEXICO
TUNISIA,2023-04-01,0,MEXICO
UGANDA,2023-04-01,0,MEXICO
ZAMBIA,2023-04-01,0,MEXICO
ZIMBABWE,2023-04-01,1,MEXICO
STATELESS,2023-04-01,1,MEXICO
CANADA,2023-03-01,3,MEXICO
UNITED STATES,2023-03-01,87,MEXICO
BELIZE,2023-03-01,32,MEXICO
COSTA RICA,2023-03-01,7,MEXICO
EL SALVADOR,2023-03-01,1788,MEXICO
GUATEMALA,2023-03-01,6016,MEXICO
HONDURAS,2023-03-01,5964,MEXICO
NICARAGUA,2023-03-01,204,MEXICO
PANAMA,2023-03-01,32,MEXICO
ANTIGUA & BARBUDA,2023-03-01,0,MEXICO
BAHAMAS,2023-03-01,0,MEXICO
CUBA,2023-03-01,231,MEXICO
DOMINICAN REPUBLIC,2023-03-01,530,MEXICO
GRENADA,2023-03-01,0,MEXICO
HAITI,2023-03-01,3704,MEXICO
JAMAICA,2023-03-01,56,MEXICO
MARTINIQUE,2023-03-01,0,MEXICO
TRINIDAD & TOBAGO,2023-03-01,1,MEXICO
ARGENTINA,2023-03-01,22,MEXICO
BOLIVIA,2023-03-01,16,MEXICO
BRAZIL,2023-03-01,1057,MEXICO
CHILE,2023-03-01,555,MEXICO
COLOMBIA,2023-03-01,3170,MEXICO
ECUADOR,2023-03-01,3119,MEXICO
FRENCH GUIANA,2023-03-01,2,MEXICO
GUYANA,2023-03-01,8,MEXICO
PARAGUAY,2023-03-01,1,MEXICO
PERU,2023-03-01,698,MEXICO
SURINAME,2023-03-01,1,MEXICO
URUGUAY,2023-03-01,1,MEXICO
VENEZUELA,2023-03-01,9116,MEXICO
ALBANIA,2023-03-01,1,MEXICO
GERMANY,2023-03-01,1,MEXICO
AUSTRIA,2023-03-01,1,MEXICO
BELGIUM,2023-03-01,1,MEXICO
BELARUS,2023-03-01,33,MEXICO
BULGARIA,2023-03-01,0,MEXICO
CZECHIA,2023-03-01,0,MEXICO
DENMARK,2023-03-01,3,MEXICO
SLOVAKIA,2023-03-01,0,MEXICO
SPAIN,2023-03-01,2,MEXICO
ESTONIA,2023-03-01,0,MEXICO
FINLAND,2023-03-01,0,MEXICO
FRANCE,2023-03-01,14,MEXICO
GREECE,2023-03-01,0,MEXICO
HUNGARY,2023-03-01,0,MEXICO
IRELAND,2023-03-01,0,MEXICO
ITALY,2023-03-01,0,MEXICO
KOSOVO,2023-03-01,0,MEXICO
LATVIA,2023-03-01,0,MEXICO
NORTH MACEDONIA,2023-03-01,0,MEXICO
MOLDOVA,2023-03-01,3,MEXICO
NORWAY,2023-03-01,0,MEXICO
NETHERLANDS,2023-03-01,4,MEXICO
POLAND,2023-03-01,0,MEXICO
PORTUGAL,2023-03-01,3,MEXICO
UNITED KINGDOM,2023-03-01,2,MEXICO
ROMANIA,2023-03-01,71,MEXICO
RUSSIA,2023-03-01,26,MEXICO
SERBIA,2023-03-01,1,MEXICO
SWEDEN,2023-03-01,1,MEXICO
SWITZERLAND,2023-03-01,0,MEXICO
UKRAINE,2023-03-01,2,MEXICO
AFGHANISTAN,2023-03-01,184,MEXICO
SAUDI ARABIA,2023-03-01,1,MEXICO
ARMENIA,2023-03-01,17,MEXICO
AZERBAIJAN,2023-03-01,16,MEXICO
BANGLADESH,2023-03-01,133,MEXICO
BHUTAN,2023-03-01,3,MEXICO
CHINA,2023-03-01,957,MEXICO
CYPRUS,2023-03-01,0,MEXICO
SOUTH KOREA,2023-03-01,0,MEXICO
PHILIPPINES,2023-03-01,1,MEXICO
GEORGIA,2023-03-01,28,MEXICO
HONG KONG SAR CHINA,2023-03-01,0,MEXICO
INDIA,2023-03-01,1844,MEXICO
INDONESIA,2023-03-01,0,MEXICO
IRAQ,2023-03-01,3,MEXICO
IRAN,2023-03-01,1,MEXICO
ISRAEL,2023-03-01,1,MEXICO
JAPAN,2023-03-01,0,MEXICO
JORDAN,2023-03-01,0,MEXICO
KAZAKHSTAN,2023-03-01,52,MEXICO
KYRGYZSTAN,2023-03-01,133,MEXICO
KUWAIT,2023-03-01,0,MEXICO
LAOS,2023-03-01,0,MEXICO
LEBANON,2023-03-01,15,MEXICO
MALAYSIA,2023-03-01,0,MEXICO
MYANMAR (BURMA),2023-03-01,0,MEXICO
MONGOLIA,2023-03-01,3,MEXICO
NEPAL,2023-03-01,32,MEXICO
PAKISTAN,2023-03-01,12,MEXICO
PALESTINIAN TERRITORIES,2023-03-01,1,MEXICO
SINGAPORE,2023-03-01,0,MEXICO
SYRIA,2023-03-01,10,MEXICO
SRI LANKA,2023-03-01,12,MEXICO
THAILAND,2023-03-01,0,MEXICO
TAIWAN,2023-03-01,0,MEXICO
TAJIKISTAN,2023-03-01,52,MEXICO
TURKMENISTAN,2023-03-01,0,MEXICO
TURKEY,2023-03-01,165,MEXICO
UZBEKISTAN,2023-03-01,201,MEXICO
VIETNAM,2023-03-01,13,MEXICO
YEMEN,2023-03-01,7,MEXICO
NA,2023-03-01,4,MEXICO
AUSTRALIA,2023-03-01,0,MEXICO
FIJI,2023-03-01,0,MEXICO
NEW ZEALAND,2023-03-01,0,MEXICO
PAPUA NEW GUINEA,2023-03-01,4,MEXICO
TONGA,2023-03-01,0,MEXICO
VANUATU,2023-03-01,0,MEXICO
ANGOLA,2023-03-01,616,MEXICO
ALGERIA,2023-03-01,1,MEXICO
BENIN,2023-03-01,16,MEXICO
BURKINA FASO,2023-03-01,29,MEXICO
BURUNDI,2023-03-01,5,MEXICO
CAPE VERDE,2023-03-01,2,MEXICO
CAMEROON,2023-03-01,223,MEXICO
CENTRAL AFRICAN REPUBLIC,2023-03-01,4,MEXICO
CHAD,2023-03-01,50,MEXICO
CONGO - KINSHASA,2023-03-01,101,MEXICO
CÔTE D’IVOIRE,2023-03-01,8,MEXICO
DJIBOUTI,2023-03-01,0,MEXICO
EGYPT,2023-03-01,50,MEXICO
ERITREA,2023-03-01,98,MEXICO
ETHIOPIA,2023-03-01,194,MEXICO
GABON,2023-03-01,0,MEXICO
GAMBIA,2023-03-01,29,MEXICO
GHANA,2023-03-01,341,MEXICO
GUINEA,2023-03-01,253,MEXICO
GUINEA-BISSAU,2023-03-01,4,MEXICO
EQUATORIAL GUINEA,2023-03-01,9,MEXICO
KENYA,2023-03-01,1,MEXICO
LIBERIA,2023-03-01,1,MEXICO
LIBYA,2023-03-01,2,MEXICO
MALI,2023-03-01,33,MEXICO
MOROCCO,2023-03-01,13,MEXICO
MAURITANIA,2023-03-01,867,MEXICO
MOZAMBIQUE,2023-03-01,5,MEXICO
NAMIBIA,2023-03-01,1,MEXICO
NIGER,2023-03-01,0,MEXICO
NIGERIA,2023-03-01,225,MEXICO
RWANDA,2023-03-01,6,MEXICO
SÃO TOMÉ & PRÍNCIPE,2023-03-01,0,MEXICO
SENEGAL,2023-03-01,497,MEXICO
SIERRA LEONE,2023-03-01,16,MEXICO
SOMALIA,2023-03-01,163,MEXICO
SOUTH AFRICA,2023-03-01,5,MEXICO
SUDAN,2023-03-01,6,MEXICO
TANZANIA,2023-03-01,0,MEXICO
TOGO,2023-03-01,31,MEXICO
TUNISIA,2023-03-01,0,MEXICO
UGANDA,2023-03-01,0,MEXICO
ZAMBIA,2023-03-01,0,MEXICO
ZIMBABWE,2023-03-01,7,MEXICO
STATELESS,2023-03-01,1,MEXICO
CANADA,2023-02-01,1,MEXICO
UNITED STATES,2023-02-01,77,MEXICO
BELIZE,2023-02-01,22,MEXICO
COSTA RICA,2023-02-01,9,MEXICO
EL SALVADOR,2023-02-01,1233,MEXICO
GUATEMALA,2023-02-01,4250,MEXICO
HONDURAS,2023-02-01,5200,MEXICO
NICARAGUA,2023-02-01,408,MEXICO
PANAMA,2023-02-01,31,MEXICO
ANTIGUA & BARBUDA,2023-02-01,0,MEXICO
BAHAMAS,2023-02-01,0,MEXICO
CUBA,2023-02-01,384,MEXICO
DOMINICAN REPUBLIC,2023-02-01,719,MEXICO
GRENADA,2023-02-01,0,MEXICO
HAITI,2023-02-01,2970,MEXICO
JAMAICA,2023-02-01,27,MEXICO
MARTINIQUE,2023-02-01,0,MEXICO
TRINIDAD & TOBAGO,2023-02-01,0,MEXICO
ARGENTINA,2023-02-01,15,MEXICO
BOLIVIA,2023-02-01,10,MEXICO
BRAZIL,2023-02-01,910,MEXICO
CHILE,2023-02-01,389,MEXICO
COLOMBIA,2023-02-01,1433,MEXICO
ECUADOR,2023-02-01,7003,MEXICO
FRENCH GUIANA,2023-02-01,2,MEXICO
GUYANA,2023-02-01,2,MEXICO
PARAGUAY,2023-02-01,0,MEXICO
PERU,2023-02-01,410,MEXICO
SURINAME,2023-02-01,1,MEXICO
URUGUAY,2023-02-01,2,MEXICO
VENEZUELA,2023-02-01,6717,MEXICO
ALBANIA,2023-02-01,0,MEXICO
GERMANY,2023-02-01,0,MEXICO
AUSTRIA,2023-02-01,0,MEXICO
BELGIUM,2023-02-01,0,MEXICO
BELARUS,2023-02-01,24,MEXICO
BULGARIA,2023-02-01,0,MEXICO
CZECHIA,2023-02-01,0,MEXICO
DENMARK,2023-02-01,0,MEXICO
SLOVAKIA,2023-02-01,0,MEXICO
SPAIN,2023-02-01,4,MEXICO
ESTONIA,2023-02-01,0,MEXICO
FINLAND,2023-02-01,0,MEXICO
FRANCE,2023-02-01,2,MEXICO
GREECE,2023-02-01,0,MEXICO
HUNGARY,2023-02-01,0,MEXICO
IRELAND,2023-02-01,0,MEXICO
ITALY,2023-02-01,0,MEXICO
KOSOVO,2023-02-01,11,MEXICO
LATVIA,2023-02-01,0,MEXICO
NORTH MACEDONIA,2023-02-01,1,MEXICO
MOLDOVA,2023-02-01,5,MEXICO
NORWAY,2023-02-01,0,MEXICO
NETHERLANDS,2023-02-01,0,MEXICO
POLAND,2023-02-01,0,MEXICO
PORTUGAL,2023-02-01,0,MEXICO
UNITED KINGDOM,2023-02-01,2,MEXICO
ROMANIA,2023-02-01,15,MEXICO
RUSSIA,2023-02-01,21,MEXICO
SERBIA,2023-02-01,0,MEXICO
SWEDEN,2023-02-01,0,MEXICO
SWITZERLAND,2023-02-01,0,MEXICO
UKRAINE,2023-02-01,2,MEXICO
AFGHANISTAN,2023-02-01,214,MEXICO
SAUDI ARABIA,2023-02-01,0,MEXICO
ARMENIA,2023-02-01,10,MEXICO
AZERBAIJAN,2023-02-01,8,MEXICO
BANGLADESH,2023-02-01,190,MEXICO
BHUTAN,2023-02-01,0,MEXICO
CHINA,2023-02-01,833,MEXICO
CYPRUS,2023-02-01,0,MEXICO
SOUTH KOREA,2023-02-01,1,MEXICO
PHILIPPINES,2023-02-01,1,MEXICO
GEORGIA,2023-02-01,23,MEXICO
HONG KONG SAR CHINA,2023-02-01,0,MEXICO
INDIA,2023-02-01,459,MEXICO
INDONESIA,2023-02-01,0,MEXICO
IRAQ,2023-02-01,0,MEXICO
IRAN,2023-02-01,10,MEXICO
ISRAEL,2023-02-01,2,MEXICO
JAPAN,2023-02-01,0,MEXICO
JORDAN,2023-02-01,5,MEXICO
KAZAKHSTAN,2023-02-01,123,MEXICO
KYRGYZSTAN,2023-02-01,137,MEXICO
KUWAIT,2023-02-01,0,MEXICO
LAOS,2023-02-01,0,MEXICO
LEBANON,2023-02-01,2,MEXICO
MALAYSIA,2023-02-01,0,MEXICO
MYANMAR (BURMA),2023-02-01,0,MEXICO
MONGOLIA,2023-02-01,0,MEXICO
NEPAL,2023-02-01,60,MEXICO
PAKISTAN,2023-02-01,22,MEXICO
PALESTINIAN TERRITORIES,2023-02-01,4,MEXICO
SINGAPORE,2023-02-01,5,MEXICO
SYRIA,2023-02-01,10,MEXICO
SRI LANKA,2023-02-01,7,MEXICO
THAILAND,2023-02-01,0,MEXICO
TAIWAN,2023-02-01,0,MEXICO
TAJIKISTAN,2023-02-01,40,MEXICO
TURKMENISTAN,2023-02-01,0,MEXICO
TURKEY,2023-02-01,25,MEXICO
UZBEKISTAN,2023-02-01,211,MEXICO
VIETNAM,2023-02-01,27,MEXICO
YEMEN,2023-02-01,11,MEXICO
NA,2023-02-01,0,MEXICO
AUSTRALIA,2023-02-01,0,MEXICO
FIJI,2023-02-01,0,MEXICO
NEW ZEALAND,2023-02-01,0,MEXICO
PAPUA NEW GUINEA,2023-02-01,0,MEXICO
TONGA,2023-02-01,0,MEXICO
VANUATU,2023-02-01,0,MEXICO
ANGOLA,2023-02-01,633,MEXICO
ALGERIA,2023-02-01,1,MEXICO
BENIN,2023-02-01,11,MEXICO
BURKINA FASO,2023-02-01,30,MEXICO
BURUNDI,2023-02-01,5,MEXICO
CAPE VERDE,2023-02-01,1,MEXICO
CAMEROON,2023-02-01,243,MEXICO
CENTRAL AFRICAN REPUBLIC,2023-02-01,0,MEXICO
CHAD,2023-02-01,14,MEXICO
CONGO - KINSHASA,2023-02-01,202,MEXICO
CÔTE D’IVOIRE,2023-02-01,10,MEXICO
DJIBOUTI,2023-02-01,8,MEXICO
EGYPT,2023-02-01,18,MEXICO
ERITREA,2023-02-01,84,MEXICO
ETHIOPIA,2023-02-01,108,MEXICO
GABON,2023-02-01,2,MEXICO
GAMBIA,2023-02-01,8,MEXICO
GHANA,2023-02-01,244,MEXICO
GUINEA,2023-02-01,190,MEXICO
GUINEA-BISSAU,2023-02-01,2,MEXICO
EQUATORIAL GUINEA,2023-02-01,2,MEXICO
KENYA,2023-02-01,2,MEXICO
LIBERIA,2023-02-01,1,MEXICO
LIBYA,2023-02-01,2,MEXICO
MALI,2023-02-01,25,MEXICO
MOROCCO,2023-02-01,17,MEXICO
MAURITANIA,2023-02-01,673,MEXICO
MOZAMBIQUE,2023-02-01,3,MEXICO
NAMIBIA,2023-02-01,1,MEXICO
NIGER,2023-02-01,1,MEXICO
NIGERIA,2023-02-01,118,MEXICO
RWANDA,2023-02-01,2,MEXICO
SÃO TOMÉ & PRÍNCIPE,2023-02-01,0,MEXICO
SENEGAL,2023-02-01,355,MEXICO
SIERRA LEONE,2023-02-01,12,MEXICO
SOMALIA,2023-02-01,204,MEXICO
SOUTH AFRICA,2023-02-01,4,MEXICO
SUDAN,2023-02-01,4,MEXICO
TANZANIA,2023-02-01,2,MEXICO
TOGO,2023-02-01,23,MEXICO
TUNISIA,2023-02-01,0,MEXICO
UGANDA,2023-02-01,2,MEXICO
ZAMBIA,2023-02-01,1,MEXICO
ZIMBABWE,2023-02-01,0,MEXICO
STATELESS,2023-02-01,1,MEXICO
CANADA,2023-01-01,7,MEXICO
UNITED STATES,2023-01-01,81,MEXICO
BELIZE,2023-01-01,15,MEXICO
COSTA RICA,2023-01-01,19,MEXICO
EL SALVADOR,2023-01-01,1231,MEXICO
GUATEMALA,2023-01-01,4016,MEXICO
HONDURAS,2023-01-01,3894,MEXICO
NICARAGUA,2023-01-01,2203,MEXICO
PANAMA,2023-01-01,40,MEXICO
ANTIGUA & BARBUDA,2023-01-01,0,MEXICO
BAHAMAS,2023-01-01,1,MEXICO
CUBA,2023-01-01,2916,MEXICO
DOMINICAN REPUBLIC,2023-01-01,1267,MEXICO
GRENADA,2023-01-01,2,MEXICO
HAITI,2023-01-01,2317,MEXICO
JAMAICA,2023-01-01,19,MEXICO
MARTINIQUE,2023-01-01,1,MEXICO
TRINIDAD & TOBAGO,2023-01-01,1,MEXICO
ARGENTINA,2023-01-01,16,MEXICO
BOLIVIA,2023-01-01,15,MEXICO
BRAZIL,2023-01-01,751,MEXICO
CHILE,2023-01-01,325,MEXICO
COLOMBIA,2023-01-01,966,MEXICO
ECUADOR,2023-01-01,6096,MEXICO
FRENCH GUIANA,2023-01-01,3,MEXICO
GUYANA,2023-01-01,4,MEXICO
PARAGUAY,2023-01-01,0,MEXICO
PERU,2023-01-01,261,MEXICO
SURINAME,2023-01-01,0,MEXICO
URUGUAY,2023-01-01,1,MEXICO
VENEZUELA,2023-01-01,5336,MEXICO
ALBANIA,2023-01-01,0,MEXICO
GERMANY,2023-01-01,0,MEXICO
AUSTRIA,2023-01-01,0,MEXICO
BELGIUM,2023-01-01,0,MEXICO
BELARUS,2023-01-01,27,MEXICO
BULGARIA,2023-01-01,0,MEXICO
CZECHIA,2023-01-01,0,MEXICO
DENMARK,2023-01-01,0,MEXICO
SLOVAKIA,2023-01-01,0,MEXICO
SPAIN,2023-01-01,0,MEXICO
ESTONIA,2023-01-01,0,MEXICO
FINLAND,2023-01-01,0,MEXICO
FRANCE,2023-01-01,1,MEXICO
GREECE,2023-01-01,0,MEXICO
HUNGARY,2023-01-01,0,MEXICO
IRELAND,2023-01-01,0,MEXICO
ITALY,2023-01-01,1,MEXICO
KOSOVO,2023-01-01,2,MEXICO
LATVIA,2023-01-01,0,MEXICO
NORTH MACEDONIA,2023-01-01,0,MEXICO
MOLDOVA,2023-01-01,0,MEXICO
NORWAY,2023-01-01,0,MEXICO
NETHERLANDS,2023-01-01,0,MEXICO
POLAND,2023-01-01,0,MEXICO
PORTUGAL,2023-01-01,0,MEXICO
UNITED KINGDOM,2023-01-01,0,MEXICO
ROMANIA,2023-01-01,15,MEXICO
RUSSIA,2023-01-01,66,MEXICO
SERBIA,2023-01-01,1,MEXICO
SWEDEN,2023-01-01,3,MEXICO
SWITZERLAND,2023-01-01,0,MEXICO
UKRAINE,2023-01-01,0,MEXICO
AFGHANISTAN,2023-01-01,214,MEXICO
SAUDI ARABIA,2023-01-01,0,MEXICO
ARMENIA,2023-01-01,22,MEXICO
AZERBAIJAN,2023-01-01,0,MEXICO
BANGLADESH,2023-01-01,137,MEXICO
BHUTAN,2023-01-01,0,MEXICO
CHINA,2023-01-01,400,MEXICO
CYPRUS,2023-01-01,0,MEXICO
SOUTH KOREA,2023-01-01,2,MEXICO
PHILIPPINES,2023-01-01,0,MEXICO
GEORGIA,2023-01-01,39,MEXICO
HONG KONG SAR CHINA,2023-01-01,0,MEXICO
INDIA,2023-01-01,670,MEXICO
INDONESIA,2023-01-01,0,MEXICO
IRAQ,2023-01-01,1,MEXICO
IRAN,2023-01-01,5,MEXICO
ISRAEL,2023-01-01,0,MEXICO
JAPAN,2023-01-01,0,MEXICO
JORDAN,2023-01-01,2,MEXICO
KAZAKHSTAN,2023-01-01,60,MEXICO
KYRGYZSTAN,2023-01-01,98,MEXICO
KUWAIT,2023-01-01,0,MEXICO
LAOS,2023-01-01,0,MEXICO
LEBANON,2023-01-01,17,MEXICO
MALAYSIA,2023-01-01,2,MEXICO
MYANMAR (BURMA),2023-01-01,0,MEXICO
MONGOLIA,2023-01-01,0,MEXICO
NEPAL,2023-01-01,78,MEXICO
PAKISTAN,2023-01-01,25,MEXICO
PALESTINIAN TERRITORIES,2023-01-01,5,MEXICO
SINGAPORE,2023-01-01,0,MEXICO
SYRIA,2023-01-01,10,MEXICO
SRI LANKA,2023-01-01,16,MEXICO
THAILAND,2023-01-01,0,MEXICO
TAIWAN,2023-01-01,0,MEXICO
TAJIKISTAN,2023-01-01,49,MEXICO
TURKMENISTAN,2023-01-01,0,MEXICO
TURKEY,2023-01-01,66,MEXICO
UZBEKISTAN,2023-01-01,147,MEXICO
VIETNAM,2023-01-01,12,MEXICO
YEMEN,2023-01-01,14,MEXICO
NA,2023-01-01,1,MEXICO
AUSTRALIA,2023-01-01,1,MEXICO
FIJI,2023-01-01,0,MEXICO
NEW ZEALAND,2023-01-01,0,MEXICO
PAPUA NEW GUINEA,2023-01-01,0,MEXICO
TONGA,2023-01-01,0,MEXICO
VANUATU,2023-01-01,0,MEXICO
ANGOLA,2023-01-01,1203,MEXICO
ALGERIA,2023-01-01,4,MEXICO
BENIN,2023-01-01,13,MEXICO
BURKINA FASO,2023-01-01,51,MEXICO
BURUNDI,2023-01-01,5,MEXICO
CAPE VERDE,2023-01-01,8,MEXICO
CAMEROON,2023-01-01,253,MEXICO
CENTRAL AFRICAN REPUBLIC,2023-01-01,1,MEXICO
CHAD,2023-01-01,6,MEXICO
CONGO - KINSHASA,2023-01-01,301,MEXICO
CÔTE D’IVOIRE,2023-01-01,10,MEXICO
DJIBOUTI,2023-01-01,0,MEXICO
EGYPT,2023-01-01,35,MEXICO
ERITREA,2023-01-01,93,MEXICO
ETHIOPIA,2023-01-01,20,MEXICO
GABON,2023-01-01,1,MEXICO
GAMBIA,2023-01-01,17,MEXICO
GHANA,2023-01-01,158,MEXICO
GUINEA,2023-01-01,123,MEXICO
GUINEA-BISSAU,2023-01-01,0,MEXICO
EQUATORIAL GUINEA,2023-01-01,10,MEXICO
KENYA,2023-01-01,2,MEXICO
LIBERIA,2023-01-01,0,MEXICO
LIBYA,2023-01-01,2,MEXICO
MALI,2023-01-01,37,MEXICO
MOROCCO,2023-01-01,10,MEXICO
MAURITANIA,2023-01-01,329,MEXICO
MOZAMBIQUE,2023-01-01,2,MEXICO
NAMIBIA,2023-01-01,3,MEXICO
NIGER,2023-01-01,0,MEXICO
NIGERIA,2023-01-01,102,MEXICO
RWANDA,2023-01-01,5,MEXICO
SÃO TOMÉ & PRÍNCIPE,2023-01-01,0,MEXICO
SENEGAL,2023-01-01,400,MEXICO
SIERRA LEONE,2023-01-01,15,MEXICO
SOMALIA,2023-01-01,95,MEXICO
SOUTH AFRICA,2023-01-01,1,MEXICO
SUDAN,2023-01-01,7,MEXICO
TANZANIA,2023-01-01,5,MEXICO
TOGO,2023-01-01,18,MEXICO
TUNISIA,2023-01-01,0,MEXICO
UGANDA,2023-01-01,2,MEXICO
ZAMBIA,2023-01-01,0,MEXICO
ZIMBABWE,2023-01-01,0,MEXICO
STATELESS,2023-01-01,0,MEXICO
CANADA,2022-12-01,0,MEXICO
UNITED STATES,2022-12-01,81,MEXICO
BELIZE,2022-12-01,51,MEXICO
COSTA RICA,2022-12-01,15,MEXICO
EL SALVADOR,2022-12-01,1143,MEXICO
GUATEMALA,2022-12-01,4241,MEXICO
HONDURAS,2022-12-01,4275,MEXICO
NICARAGUA,2022-12-01,4508,MEXICO
PANAMA,2022-12-01,38,MEXICO
CUBA,2022-12-01,3296,MEXICO
DOMINICAN REPUBLIC,2022-12-01,1334,MEXICO
GRENADA,2022-12-01,0,MEXICO
HAITI,2022-12-01,1593,MEXICO
JAMAICA,2022-12-01,71,MEXICO
TRINIDAD & TOBAGO,2022-12-01,1,MEXICO
ARGENTINA,2022-12-01,17,MEXICO
BOLIVIA,2022-12-01,28,MEXICO
BRAZIL,2022-12-01,461,MEXICO
CHILE,2022-12-01,266,MEXICO
COLOMBIA,2022-12-01,2001,MEXICO
ECUADOR,2022-12-01,8083,MEXICO
FRENCH GUIANA,2022-12-01,0,MEXICO
GUYANA,2022-12-01,3,MEXICO
PARAGUAY,2022-12-01,1,MEXICO
PERU,2022-12-01,778,MEXICO
SURINAME,2022-12-01,0,MEXICO
URUGUAY,2022-12-01,3,MEXICO
VENEZUELA,2022-12-01,11333,MEXICO
ALBANIA,2022-12-01,1,MEXICO
GERMANY,2022-12-01,1,MEXICO
AUSTRIA,2022-12-01,0,MEXICO
BELGIUM,2022-12-01,0,MEXICO
BELARUS,2022-12-01,37,MEXICO
BULGARIA,2022-12-01,0,MEXICO
CZECHIA,2022-12-01,1,MEXICO
CROATIA,2022-12-01,0,MEXICO
DENMARK,2022-12-01,0,MEXICO
SLOVENIA,2022-12-01,0,MEXICO
SPAIN,2022-12-01,3,MEXICO
FINLAND,2022-12-01,0,MEXICO
FRANCE,2022-12-01,1,MEXICO
GREECE,2022-12-01,0,MEXICO
