citizenship,date,encounter_count,country_of_entry
LIBERIA,2024-08-01,0,MEXICO
LIBYA,2024-08-01,0,MEXICO
MADAGASCAR,2024-08-01,0,MEXICO
MALI,2024-08-01,10,MEXICO
MOROCCO,2024-08-01,106,MEXICO
MAURITANIA,2024-08-01,465,MEXICO
MOZAMBIQUE,2024-08-01,5,MEXICO
NAMIBIA,2024-08-01,0,MEXICO
NIGER,2024-08-01,0,MEXICO
NIGERIA,2024-08-01,91,MEXICO
RWANDA,2024-08-01,6,MEXICO
SENEGAL,2024-08-01,469,MEXICO
SIERRA LEONE,2024-08-01,30,MEXICO
SOMALIA,2024-08-01,10,MEXICO
SOUTH AFRICA,2024-08-01,10,MEXICO
SUDAN,2024-08-01,32,MEXICO
TANZANIA,2024-08-01,1,MEXICO
TOGO,2024-08-01,110,MEXICO
TUNISIA,2024-08-01,4,MEXICO
UGANDA,2024-08-01,3,MEXICO
ZAMBIA,2024-08-01,1,MEXICO
ZIMBABWE,2024-08-01,0,MEXICO
STATELESS,2024-08-01,1,MEXICO
CANADA,2024-07-01,0,MEXICO
UNITED STATES,2024-07-01,131,MEXICO
BELIZE,2024-07-01,724,MEXICO
COSTA RICA,2024-07-01,1045,MEXICO
EL SALVADOR,2024-07-01,7183,MEXICO
GUATEMALA,2024-07-01,5374,MEXICO
HONDURAS,2024-07-01,7555,MEXICO
NICARAGUA,2024-07-01,4321,MEXICO
PANAMA,2024-07-01,1057,MEXICO
BAHAMAS,2024-07-01,1,MEXICO
CUBA,2024-07-01,4232,MEXICO
DOMINICAN REPUBLIC,2024-07-01,3690,MEXICO
HAITI,2024-07-01,3499,MEXICO
JAMAICA,2024-07-01,130,MEXICO
TRINIDAD & TOBAGO,2024-07-01,2,MEXICO
ARGENTINA,2024-07-01,52,MEXICO
BOLIVIA,2024-07-01,1653,MEXICO
BRAZIL,2024-07-01,1802,MEXICO
CHILE,2024-07-01,1345,MEXICO
COLOMBIA,2024-07-01,7468,MEXICO
ECUADOR,2024-07-01,10069,MEXICO
FRENCH GUIANA,2024-07-01,1,MEXICO
GUYANA,2024-07-01,6,MEXICO
PARAGUAY,2024-07-01,428,MEXICO
PERU,2024-07-01,2895,MEXICO
SURINAME,2024-07-01,0,MEXICO
URUGUAY,2024-07-01,218,MEXICO
VENEZUELA,2024-07-01,40488,MEXICO
ALBANIA,2024-07-01,7,MEXICO
GERMANY,2024-07-01,4,MEXICO
ANDORRA,2024-07-01,1,MEXICO
AUSTRIA,2024-07-01,0,MEXICO
BELGIUM,2024-07-01,0,MEXICO
BELARUS,2024-07-01,0,MEXICO
BOSNIA & HERZEGOVINA,2024-07-01,0,MEXICO
CZECHIA,2024-07-01,0,MEXICO
DENMARK,2024-07-01,1,MEXICO
SLOVAKIA,2024-07-01,1,MEXICO
SLOVENIA,2024-07-01,0,MEXICO
SPAIN,2024-07-01,3,MEXICO
FINLAND,2024-07-01,0,MEXICO
FRANCE,2024-07-01,9,MEXICO
GREECE,2024-07-01,0,MEXICO
HUNGARY,2024-07-01,0,MEXICO
ITALY,2024-07-01,4,MEXICO
LATVIA,2024-07-01,0,MEXICO
MALTA,2024-07-01,0,MEXICO
MOLDOVA,2024-07-01,2,MEXICO
NETHERLANDS,2024-07-01,1,MEXICO
POLAND,2024-07-01,0,MEXICO
PORTUGAL,2024-07-01,2,MEXICO
UNITED KINGDOM,2024-07-01,4,MEXICO
ROMANIA,2024-07-01,4,MEXICO
RUSSIA,2024-07-01,41,MEXICO
SERBIA,2024-07-01,0,MEXICO
SWEDEN,2024-07-01,1,MEXICO
UKRAINE,2024-07-01,2,MEXICO
AFGHANISTAN,2024-07-01,233,MEXICO
SAUDI ARABIA,2024-07-01,5,MEXICO
ARMENIA,2024-07-01,9,MEXICO
